CNES,"BARBALHA, CE","BOA VIAGEM, CE","FORTALEZA, CE","MISSAO VELHA, CE","MUCAMBO, CE","NOVA RUSSAS, CE","RUSSAS, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE ADILIA MARIA,0,2,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,2,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,2,0,0,0,1,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,1,0,0,0,0,0
HOSPITAL DISTRITAL MARIA JOSE BARROSO DE OLIVEIRA PARANGABA,0,0,1,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,1,0
HOSPITAL HAROLDO JUACABA,0,0,4,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,1,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,1,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,1
