CNES,"AQUIRAZ, CE","BOA VIAGEM, CE","CAUCAIA, CE","FORTALEZA, CE","HORIZONTE, CE","IBICUITINGA, CE","ICAPUI, CE","IGUATU, CE","INDEPENDENCIA, CE","IRAUCUBA, CE","ITAPAGE, CE","ITAPIPOCA, CE","ITAREMA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MOMBACA, CE","PEDRA BRANCA, CE","QUIXADA, CE","SANTANA DO ACARAU, CE","SAO BENEDITO, CE"
CASA DE SAUDE ADILIA MARIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,4,1,1,1,0,1,0,1,1,1,0,1,3,0,1,0,0,0
HOSP GERAL MANUEL ASSUNCAO PIRES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
