CNES,"ACOPIARA, CE","AQUIRAZ, CE","BARBALHA, CE","BARREIRA, CE","BARRO, CE","CATUNDA, CE","CAUCAIA, CE","EUSEBIO, CE","FARIAS BRITO, CE","FORTALEZA, CE","IBICUITINGA, CE","ITAPIPOCA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","QUIXERE, CE","RUSSAS, CE","SOBRAL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0
HOSP GERAL MANUEL ASSUNCAO PIRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL GERAL DE FARIAS BRITO HGFB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MUNICIPAL DE CATUNDA FRANCISCA GONCALVES DE OLIVEIR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
