CNES,"AQUIRAZ, CE","BARBALHA, CE","BOA VIAGEM, CE","CANINDE, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","IGUATU, CE","IRACEMA, CE","ITAREMA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MISSAO VELHA, CE","MUCAMBO, CE","QUIXADA, CE","RUSSAS, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,1,0,5,0,0,1,0,0,0,0,0,1,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOPRAFA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
