CNES,"BARBALHA, CE","BATURITE, CE","BELA CRUZ, CE","CASCAVEL, PR","CAUCAIA, CE","CRATO, CE","CROATA, CE","FARIAS BRITO, CE","FORTALEZA, CE","HORIZONTE, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","PACAJUS, CE","PENTECOSTE, CE","RUSSAS, CE","SABOEIRO, CE","SALITRE, CE","UBAJARA, CE","VARZEA ALEGRE, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,1,0,0,0,8,0,0,1,1,1,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL E MAT VENANCIO RAIM DE SOUSA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MUNICIPAL DE BELA CRUZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL FRANCISCA BELARMINO DA COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MUNICIPAL MONSENHOR ANTONINO,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNID MISTA DE SABOEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
