CNES,"AIUABA, CE","ASSARE, CE","BEBERIBE, CE","CAMPOS SALES, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","IBICUITINGA, CE","ITAPIPOCA, CE","JIJOCA DE JERICOACOARA, CE","JUAZEIRO DO NORTE, CE","PARAIPABA, CE","RUSSAS, CE","TABULEIRO DO NORTE, CE","UMARI, CE"
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,0,3,0,7,1,1,0,0,0,1,0,0
HOSP GERAL LUIZA ALCANTARA SILVA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSP NOSSA SRA DO PATROCINIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
