CNES,"BARBALHA, CE","CAMPOS SALES, CE","CAUCAIA, CE","CRATO, CE","EUSEBIO, CE","FORTALEZA, CE","IGUATU, CE","JAGUARIBE, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MILAGRES, CE","POTENGI, CE","RUSSAS, CE","TABULEIRO DO NORTE, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE POTENGI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
