CNES,"ABAIARA, CE","ACARAU, CE","CANINDE, CE","CAUCAIA, CE","FORTALEZA, CE","FORTIM, CE","HORIZONTE, CE","ICO, CE","IGUATU, CE","ITAPIPOCA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MORADA NOVA, CE","PACATUBA, CE","PARAMBU, CE","REDENCAO, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","TABULEIRO DO NORTE, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,2,5,1,1,1,0,0,0,0,2,1,2,1,1,0,1,0,0
HOSP DR MOURA FERREIRA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP GERAL LUIZA ALCANTARA SILVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
