CNES,"AURORA, CE","CANINDE, CE","CAUCAIA, CE","FORTALEZA, CE","ITAREMA, CE","ITATIRA, CE","JAGUARETAMA, CE","JUAZEIRO DO NORTE, CE","MORADA NOVA, CE","NOVA RUSSAS, CE","OCARA, CE","PARAIPABA, CE","QUIXADA, CE","RERIUTABA, CE","SOBRAL, CE","UBAJARA, CE"
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,2,2,9,1,0,0,0,1,0,1,1,1,0,0,0
HOSPITAL E MATERNIDADE ADOLFO BEZERRA DE MENEZES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE FRANCISCO RAIMUNDO MARCOS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE RITA DO VALE REGO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL FRANCISCA BELARMINO DA COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
