CNES,"BREJO SANTO, CE","CAUCAIA, CE","CRATEUS, CE","CRATO, CE","FORTALEZA, CE","IGUATU, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MARCO, CE","MOMBACA, CE","PACATUBA, CE","QUIXERE, CE","TAUA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,1,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,2,0,0,15,1,1,0,0,1,1,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,2
HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MUNICIPAL JAIME OSTERNO,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL SAO LUCAS,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,1,0
IMTAVI,1,0,0,0,0,0,0,0,0,0,0,0,0
