CNES,"ALCANTARAS, CE","ARACATI, CE","BELA CRUZ, CE","CAMOCIM, CE","CASCAVEL, CE","CAUCAIA, CE","EUSEBIO, CE","FORTALEZA, CE","IGUATU, CE","IPUEIRAS, CE","ITAITINGA, CE","ITAPIUNA, CE","JAGUARIBE, CE","JAGUARUANA, CE","JATI, CE","JUAZEIRO DO NORTE, CE","MORADA NOVA, CE","NOVA RUSSAS, CE","PARAIPABA, CE","PARAMOTI, CE","QUITERIANOPOLIS, CE","RUSSAS, CE","SAO BENEDITO, CE","SAO GONCALO DO AMARANTE, CE","TAUA, CE","VARZEA ALEGRE, CE","VICOSA DO CEARA, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,0,1,3,1,16,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0
HOSP MATERN OTACILIO MOTA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DEPUTADO MURILO AGUIAR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL GERAL DR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE PROFESSOR WALDEMAR ALCANTARA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE GONCALVES ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
