CNES,"BATURITE, CE","BELA CRUZ, CE","CAMPOS SALES, CE","CANINDE, CE","CAUCAIA, CE","CRATEUS, CE","CRATO, CE","FORTALEZA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MORRINHOS, CE","OCARA, CE","PACAJUS, CE","PENTECOSTE, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SOBRAL, CE","TAUA, CE","UMARI, CE"
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,2,0,0,1,0,0,19,0,0,0,0,2,1,1,0,0,0,0
HOSPITAL DR ALBERTO FEITOSA LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL SAO LUCAS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
