CNES,"ALTO SANTO, CE","AQUIRAZ, CE","BATURITE, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CASCAVEL, CE","FORTALEZA, CE","GUARACIABA DO NORTE, CE","JAGUARETAMA, CE","MARACANAU, CE","QUIXADA, CE","QUIXERAMOBIM, CE","SAO GONCALO DO AMARANTE, CE","VICOSA DO CEARA, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,1,1,0,0,0,0,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,0,0,2,1,1,1,0,1,0,0
HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,1,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE SANTA RITA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMTAVI,0,0,0,0,1,0,0,0,0,0,0,0,0,0
