CNES,"CANINDE, CE","CATUNDA, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","IRAUCUBA, CE","ITAITINGA, CE","ITAPIPOCA, CE","JUAZEIRO DO NORTE, CE","MADALENA, CE","MARANGUAPE, CE","PACATUBA, CE","PACOTI, CE","RUSSAS, CE","SOBRAL, CE","TIANGUA, CE","UBAJARA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,7,0,0,0,1,0,1,1,1,0,1,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HOSPITAL PADRE QUILIANO E MATERNIDADE DONA NEUSA HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
