CNES,"ACARAU, CE","AQUIRAZ, CE","BARRO, CE","CAMOCIM, CE","CAMPOS SALES, CE","CAUCAIA, CE","FORTALEZA, CE","HIDROLANDIA, CE","IGUATU, CE","ITAPIPOCA, CE","JAGUARETAMA, CE","JUCAS, CE","MORADA NOVA, CE","PINDORETAMA, CE","PORANGA, CE","QUIXERE, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","TRAIRI, CE"
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,1,0,4,11,0,0,1,0,0,2,1,0,0,0,0,1
HOSP DR MOURA FERREIRA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP GERAL MANUEL ASSUNCAO PIRES,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUNIC FRANC ANTONIO DE PINHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSP MUNIC SANTO ANTONIO,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CAMPOS SALES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE FORTALEZA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
