CNES,"AQUIRAZ, CE","BARBALHA, CE","CAUCAIA, CE","FORTALEZA, CE","ICAPUI, CE","IPUEIRAS, CE","IRAUCUBA, CE","ITAITINGA, CE","ITAPIPOCA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","PACATUBA, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","SOBRAL, CE"
H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HIAS HOSPITAL INFANTIL ALBERT SABIN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,1,11,1,0,1,0,0,0,0,0,1,0,0,1,0
HOSP GERAL MANUEL ASSUNCAO PIRES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MATERN OTACILIO MOTA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
