CNES,"AQUIRAZ, CE","ARACATI, CE","ARACOIABA, CE","BARBALHA, CE","CAUCAIA, CE","FORTALEZA, CE","GENERAL SAMPAIO, CE","IGUATU, CE","IRAUCUBA, CE","ITAITINGA, CE","JUAZEIRO DO NORTE, CE","MARANGUAPE, CE","MARCO, CE","MORADA NOVA, CE","PACATUBA, CE","SAO BENEDITO, CE"
H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,1,0,0,6,1,0,0,1,0,0,0,0,1,0
HOSP GERAL MANUEL ASSUNCAO PIRES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JAIME OSTERNO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
