CNES,"AQUIRAZ, CE","ARARENDA, CE","CASCAVEL, CE","CAUCAIA, CE","EUSEBIO, CE","FORTALEZA, CE","FORTIM, CE","GRANJA, CE","IGUATU, CE","ITAPAGE, CE","ITAPIPOCA, CE","JARDIM, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MISSAO VELHA, CE","MOMBACA, CE","OCARA, CE","RUSSAS, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,0,1,10,1,0,0,1,0,0,0,0,0,1,0,0,1,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL HAROLDO JUACABA,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
