CNES,"BARBALHA, CE","CAUCAIA, CE","CRUZ, CE","EUSEBIO, CE","FORTALEZA, CE","IGUATU, CE","ITAITINGA, CE","JARDIM, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","PACAJUS, CE","PENTECOSTE, CE","QUIXADA, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SANTA QUITERIA, CE","SAO JOAO DO JAGUARIBE, CE","SOBRAL, CE","TRAIRI, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,2,0,1,13,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSP MUNIC DONA MARIA MUNIZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
HOSPITAL JOSE MARIA PHILOMENO GOMES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
