CNES,"ACOPIARA, CE","APUIARES, CE","ARACATI, CE","BREJO SANTO, CE","CAUCAIA, CE","DEPUTADO IRAPUAN PINHEIRO, CE","FORTALEZA, CE","ICAPUI, CE","IGUATU, CE","ITAPIPOCA, CE","JAGUARIBE, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","RUSSAS, CE","SOBRAL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,1,0,2,1,12,0,0,0,0,0,0,1,1,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IMTAVI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
