CNES,"ARACATI, CE","BARBALHA, CE","CASCAVEL, CE","CAUCAIA, CE","EUSEBIO, CE","FORTALEZA, CE","IGUATU, CE","ITAITINGA, CE","ITAPIPOCA, CE","JATI, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MILAGRES, CE","MILHA, CE","MORADA NOVA, CE","PACATUBA, CE","QUITERIANOPOLIS, CE","RUSSAS, CE","SAO BENEDITO, CE","VARZEA ALEGRE, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,1,3,1,12,1,1,0,1,0,0,0,1,1,0,1,0,1,1
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL RAIMUNDO CELIO RODRIGUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
