CNES,"BARBALHA, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","GRACA, CE","JAGUARETAMA, CE","MARACANAU, CE","POTIRETAMA, CE","SOBRAL, CE"
CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,0,0,0,1,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,2,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,8,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,1,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,0,1,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,1,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,1,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,2
