CNES,"BARREIRA, CE","BATURITE, CE","BOA VIAGEM, CE","CARNAUBAL, CE","CAUCAIA, CE","CRATO, CE","FORTALEZA, CE","IBICUITINGA, CE","JAGUARETAMA, CE","JUAZEIRO DO NORTE, CE","MARANGUAPE, CE","PARACURU, CE","PEDRA BRANCA, CE","PENTECOSTE, CE","PORTEIRAS, CE","QUIXADA, CE","QUIXERAMOBIM, CE","RUSSAS, CE"
CASA DE SAUDE ADILIA MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,0,1,0,1,6,1,0,0,1,1,1,0,0,0,0,1
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE ADOLFO BEZERRA DE MENEZES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL ESTADUAL LEONARDO DA VINCI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO SERTAO CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
