CNES,"BARBALHA, CE","BATURITE, CE","FORTALEZA, CE","IGUATU, CE","ITAPIPOCA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","NOVA OLINDA, CE","PACATUBA, CE","PALHANO, CE","PENTECOSTE, CE","RUSSAS, CE","SOBRAL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,2,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,1,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,4,0,1,1,0,0,0,1,0,0,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,1,0,0,0,0,0,3,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,2,0,0,0,0,0,3,1,0,0,0,0,0
HOSPITAL RAIMUNDO CELIO RODRIGUES,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,1,0,0,0,0,0,0,0,0,0,0
INSTITUTO PRAXIS,0,0,1,0,0,0,0,0,0,0,0,0,0
