CNES,"BARBALHA, CE","BARRO, CE","BEBERIBE, CE","BELA CRUZ, CE","CARNAUBAL, CE","CASCAVEL, CE","FORTALEZA, CE","ITAPIPOCA, CE","ITATIRA, CE","JARDIM, CE","JUAZEIRO DO NORTE, CE","MARANGUAPE, CE","MORADA NOVA, CE","MUCAMBO, CE","PACATUBA, CE","PENTECOSTE, CE","QUIXERAMOBIM, CE","RUSSAS, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,1,1,1,2,6,0,1,0,0,0,0,0,0,0,1,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE JARDIM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
