CNES,"ACOPIARA, CE","BARBALHA, CE","CAUCAIA, CE","FORTALEZA, CE","IBARETAMA, CE","IGUATU, CE","INDEPENDENCIA, CE","JAGUARIBE, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","MARACANAU, CE","MAURITI, CE","PARAIPABA, CE","PINDORETAMA, CE","QUIXERE, CE","RUSSAS, CE","SENADOR POMPEU, CE","SOBRAL, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0
HOSP OTACILIO BARBOSA DOS SANTOS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTO PRAXIS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATERNIDADE E HOSPITAL SANTA ISABEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
