CNES,"AQUIRAZ, CE","ARARIPE, CE","BREJO SANTO, CE","CANINDE, CE","CAPISTRANO, CE","CAUCAIA, CE","FORTALEZA, CE","GRANJA, CE","GUAIUBA, CE","IPAUMIRIM, CE","IPU, CE","IRACEMA, CE","ITAITINGA, CE","ITAPIPOCA, CE","JAGUARIBE, CE","JAGUARUANA, CE","JIJOCA DE JERICOACOARA, CE","JUAZEIRO DO NORTE, CE","MADALENA, CE","MARACANAU, CE","MAURITI, CE","MISSAO VELHA, CE","MORADA NOVA, CE","MUCAMBO, CE","MULUNGU, CE","OCARA, CE","PACATUBA, CE","PARACURU, CE","PARAIPABA, CE","TRAIRI, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,0,0,1,1,1,12,0,1,0,0,1,1,2,1,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0
HOSP DR MOURA FERREIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MATERN DR VICENTE ARRUDA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP OTACILIO BARBOSA DOS SANTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
