CNES,"ALTO SANTO, CE","ARACATI, CE","BARRO, CE","CAUCAIA, CE","FORTALEZA, CE","IGUATU, CE","JAGUARETAMA, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","JUCAS, CE","MAURITI, CE","MORADA NOVA, CE","RUSSAS, CE","SOLONOPOLE, CE","TABULEIRO DO NORTE, CE","URUBURETAMA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,1
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
HOSPITAL E MATERNIDADE ADOLFO BEZERRA DE MENEZES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MARIA SUELLY NOGUEIRA PINHEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
