CNES,"AQUIRAZ, CE","BEBERIBE, CE","BREJO SANTO, CE","CAMOCIM, CE","CANINDE, CE","CAUCAIA, CE","CRATEUS, CE","FORTALEZA, CE","FRECHEIRINHA, CE","IGUATU, CE","IPAUMIRIM, CE","ITAPIUNA, CE","JAGUARIBE, CE","JAGUARUANA, CE","JUAZEIRO DO NORTE, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MARANGUAPE, CE","MOMBACA, CE","MORAUJO, CE","NOVA RUSSAS, CE","PALHANO, CE","PARACURU, CE","QUIXADA, CE","SAO GONCALO DO AMARANTE, CE","SOBRAL, CE","TABULEIRO DO NORTE, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,0,1,1,1,1,27,0,0,0,1,2,1,0,1,1,1,0,0,0,0,1,1,1,0,0
HOSP MATERN ANT ADERALDO CASTELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSP MATERN MENINO JESUS DE PRAGA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUN ABELARDO GADELHA DA ROCHA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL MONSENHOR DOURADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMTAVI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CASA DE MISERICORDIA DE SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
