CNES,"BATURITE, CE","BELA CRUZ, CE","BOA VIAGEM, CE","BREJO SANTO, CE","CAUCAIA, CE","EUSEBIO, CE","FORTALEZA, CE","IGUATU, CE","ITAITINGA, CE","LAVRAS DA MANGABEIRA, CE","MILAGRES, CE","PACAJUS, CE","PALHANO, CE","PENTECOSTE, CE","QUIXADA, CE","RUSSAS, CE","SANTA QUITERIA, CE","SENADOR POMPEU, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,2,0,0,1,1,16,0,0,1,0,3,0,0,0,0,1,0
HOSP MATERN REG VALE DO CURU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL E MATERNIDADE JESUS MARIA JOSE HMJMJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL NOSSA SENHORA DOS MILAGRES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE IGUATU,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
IMTAVI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATERNIDADE E HOSPITAL SANTA ISABEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
