CNES,"ACARAU, CE","ASSARE, CE","BARBALHA, CE","BOA VIAGEM, CE","CHOROZINHO, CE","CRATO, CE","FORTALEZA, CE","GRANJEIRO, CE","GUARAMIRANGA, CE","IRAUCUBA, CE","ITAPAGE, CE","JUAZEIRO DO NORTE, CE","JUCAS, CE","MARACANAU, CE","MORADA NOVA, CE","PACAJUS, CE","PALHANO, CE","PEDRA BRANCA, CE","QUIXERAMOBIM, CE","RUSSAS, CE","SOLONOPOLE, CE","TABULEIRO DO NORTE, CE","TIANGUA, CE","VARZEA ALEGRE, CE"
CASA DE SAUDE ADILIA MARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3,2,1,1,0,0,0,0,0,0
HOSP DR MOURA FERREIRA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSP MUNIC NOSSA SENHORA DAS DORES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HOSPITAL HAROLDO JUACABA,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MATERNIDADE MADALENA NUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE MARIA SUELLY NOGUEIRA PINHEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE CHOROZINHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DE GRANJEIRO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO CARIRI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DO SERTAO CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
