CNES,"ACOPIARA, CE","BOA VIAGEM, CE","CARIRIACU, CE","CAUCAIA, CE","EUSEBIO, CE","FORTALEZA, CE","ICO, CE","JAGUARUANA, CE","JUCAS, CE","LIMOEIRO DO NORTE, CE","MARACANAU, CE","MAURITI, CE","MISSAO VELHA, CE","PENTECOSTE, CE","RUSSAS, CE","SAO GONCALO DO AMARANTE, CE","SOLONOPOLE, CE","TAUA, CE"
HGCC HOSPITAL GERAL DR CESAR CALS,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HGF HOSPITAL GERAL DE FORTALEZA,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,1
HOSPITAL DISTRITAL DR FERNANDES TAVORA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL E CASA DE SAUDE DE RUSSAS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
HOSPITAL MATERNIDADE MARIA SUELLY NOGUEIRA PINHEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL SAO RAIMUNDO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SOPRAFA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
